Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Annual Base Salary $,Estimated Annual Bonus $,Estimated Annual Equity / RSU Value,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,"VP, CISO",CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,34,No,250 - 499 employees,Internet,Privately Held Company,CEO,USD (U.S. Dollar),295000,"$1,105,000",$0,295000,"$1,105,000",$0,375000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",4,I do not report to the Board of Directors,No,,,No,Not Sure,Yes,Yes,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Other,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Regulatory compliance violations",None at this time,"AI-enhanced attacks,Cloud misconfigurations",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Corvus Insurance
Synthetic-2026,CISO,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,48,No,< 250 employees,Consumer Software,Privately Held Company,CEO,USD (U.S. Dollar),200000,"$273,000",$0,200000,"$273,000",$0,290000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM)",5,At least quarterly,No,,,Yes,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Managing third-party/vendor AI risk,Data exposure/privacy breaches,"EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management)","Identity/credential theft,Ransomware",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CISO,Rippling
Synthetic-2026,CSO,CISO / Head Security Level,Male,"Houston, TX, USA",Houston,North America,24,Yes,1000 - 4999 employees,Banking / Financial Services,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),260000,"$130,000",$0,260000,"$130,000",$0,260000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",7,I do not report to the Board of Directors,No,,,No,Corporate Indemnification Policy,No,Yes,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches","NIST AI Risk Management Framework (AI RMF),None at this time","Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",No,Synthetic,CISO,Elevance Health
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Nashville, TN, USA",Nashville,North America,120,No,"5000 - 9,999 employees",Aerospace & Defense,Publicly Traded Company,COO / President,USD (U.S. Dollar),225000,"$60,000",$0,225000,"$60,000",$0,270000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations",5,I do not report to the Board of Directors,Yes,"$190,000","$190,000",No,Corporate Indemnification Policy,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Identity/credential theft,Third party risk attacks,Zero-day exploits",Somewhat confident,Location (RTO) constraints limiting hiring,No,Synthetic,CISO,Adobe
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,12,Yes,"5000 - 9,999 employees",Enterprise Software,Non-Profit,Chief Financial Officer,USD (U.S. Dollar),450000,"$75,000",,450000,"$75,000",,1340000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",86,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,No,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Established and repeatable,4,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",Internal / proprietary AI risk framework,"AI-enhanced attacks,Cloud misconfigurations,Insider threats,Phishing/social engineering",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CISO,Ohio State University
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,11,No,1000 - 4999 employees,Leisure / Hospitality,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),290000,"$40,000","$220,000",290000,"$40,000","$220,000",550000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",8,At least quarterly,No,,,Yes,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,10,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Cloud misconfigurations,Identity/credential theft,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Wells Fargo
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"Columbus, OH, USA",Columbus,North America,6,Yes,1000 - 4999 employees,Enterprise Software,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),425000,"$10,000","$680,000",425000,"$10,000","$680,000",1115000,"AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Third Party Risk Management (TPRM)",11,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Ensuring transparency and explainability of AI-driven decisions,AI decision-making in security tools creating blind spots,ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Ransomware",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Comcast
Synthetic-2026,VP & CISO,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,77,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),215000,"$86,000","$69,000",215000,"$86,000","$69,000",370000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Enterprise Risk,GRC,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",1,I do not report to the Board of Directors,Yes,"$200,000","$200,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,8,Other,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Identity/credential theft,IoT/OT device vulnerabilities",Not confident,"Location (RTO) constraints limiting hiring,Other,Time spent screening unqualified candidates",No,Synthetic,CISO,Samsara
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,134,Yes,250 - 499 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),315000,"$100,000",,315000,"$100,000",,770000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",13,At least quarterly,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,15,Establishing regulatory compliance and auditability for AI systems,"AI-generated content being used in social engineering attacks,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft",Somewhat confident,"Other,Risk of hiring someone who looks good on paper but lacks depth",Yes,Synthetic,CISO,NinjaRMM
Synthetic-2026,CISO,CISO / Head Security Level,Female,"London, UK",London,Europe & International,53,Yes,"25,000+ employees",HealthTech,Privately Held Company,COO / President,USD (U.S. Dollar),350000,,"$105,000",350000,,"$105,000",455000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Physical Security / Executive Protection,Product Security / AppSec,Third Party Risk Management (TPRM),Trust & Safety",87,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy, Corporate Indemnification Policy",Yes,No,Yes,Yes (Cash and / or Equity),"Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Other,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Ransomware,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,Recorded Future
Synthetic-2026,"SVP, CISO",CISO / Head Security Level,Male,"Miami, FL, USA",Miami,North America,45,No,"10,000 - 25,000 employees",Artificial Intelligence (AI),Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),205000,,"$255,000",205000,,"$255,000",460000,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Security Operations,Third Party Risk Management (TPRM)",11,At least quarterly,No,,,Yes,Corporate Directors & Officers (D&O) Policy,Yes,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,20,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Ransomware",Very confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Synthetic,CISO,Boeing
Synthetic-2026,CSO,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,60,Yes,"25,000+ employees",Banking / Financial Services,Publicly Traded Company,Chief Financial Officer,USD (U.S. Dollar),545000,"$200,000",,545000,"$200,000",,1380000,"AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",35,At least semi-annually,Yes,"$30,000","$30,000",Yes,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,"Financial and/or Risk-Based Metrics,Percentage of company revenue",Yes,Third-party/vendor AI risk management,Developing but inconsistent,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Insider threats,Zero-day exploits",Very confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CISO,Palo Alto Networks
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Dallas, TX, USA",Dallas,North America,48,No,"25,000+ employees",HealthTech,Publicly Traded Company,Chief Financial Officer,USD (U.S. Dollar),300000,"$120,000",,300000,"$120,000",,825000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Privacy,Security Operations,Third Party Risk Management (TPRM)",303,I do not report to the Board of Directors,Yes,"$100,000","$100,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,10,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Regulatory compliance violations","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Mobile / BYOD threats,Ransomware",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CISO,L3Harris
Synthetic-2026,"VP, CISO",CISO / Head Security Level,Male,"Washington, DC, USA",DMV,North America,33,Yes,"5000 - 9,999 employees",Retail,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),250000,"$70,000",$0,250000,"$70,000",$0,250000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",113,At least annually,Yes,"$20,000","$20,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Other,Developing but inconsistent,5,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Other",No,Synthetic,CISO,Clari
Synthetic-2026,"VP, CISO",CISO / Head Security Level,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,31,Yes,"25,000+ employees",Professional Services,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),400000,"$85,000","$275,000",400000,"$85,000","$275,000",760000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",350,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Established and repeatable,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),None at this time","AI-enhanced attacks,Identity/credential theft,Insider threats,Phishing/social engineering,Zero-day exploits",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Marriott
Synthetic-2026,CISO,CISO / Head Security Level,Female,"San Francisco, CA, USA",Bay Area,North America,53,Yes,1000 - 4999 employees,EdTech,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),300000,"$50,000","$160,000",300000,"$50,000","$160,000",510000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",4,At least quarterly,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,5,Shadow AI,"Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"API security,Phishing/social engineering",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CISO,Charles Schwab
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"London, UK",London,Europe & International,80,No,< 250 employees,Industrial / Manufacturing,Publicly Traded Company,CEO,USD (U.S. Dollar),280000,"$165,000","$180,000",280000,"$165,000","$180,000",625000,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM),Trust & Safety",3,At least quarterly,Yes,"$50,000","$50,000",No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"AI-enhanced attacks,Insider threats,Ransomware,Zero-day exploits",Don't Know / Not applicable,Location (RTO) constraints limiting hiring,I am the AI Security leader,Synthetic,CISO,General Mills
Synthetic-2026,"SVP, CISO",CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,49,No,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),250000,,,250000,,,415000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,No,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,20,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"API security,Identity/credential theft,Insider threats,Other",Very confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CISO,Snyk
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,5,No,< 250 employees,Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),110000,"$66,000",$0,110000,"$66,000",$0,125000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",2,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",Yes,No,No,No,Attack Surface / Risk Assessment,No,Workforce training and upskilling on AI risks,Developing but inconsistent,15,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Mobile / BYOD threats,Ransomware",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Yes,Synthetic,CISO,ThreatConnect
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,30,Yes,< 250 employees,Logistics / Transportation,Privately Held Company,CEO,USD (U.S. Dollar),180000,,,180000,,,180000,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",7,At least quarterly,Yes,"$100,000","$100,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,Financial and/or Risk-Based Metrics,No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,10,Shadow AI,Shadow AI usage bypassing security controls,NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Cloud misconfigurations,Identity/credential theft,Ransomware",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CISO,Evolent Health
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,37,Yes,1000 - 4999 employees,Enterprise Software,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),230000,"$30,000","$15,000",230000,"$30,000","$15,000",275000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",35,At least quarterly,Yes,"$50,000","$50,000",Yes,Neither,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,30,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Insider threats,Phishing/social engineering,Ransomware,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CISO,Home Depot
Synthetic-2026,Chief Security Officer,CISO / Head Security Level,Male,"Washington, DC, USA",DMV,North America,12,No,"5000 - 9,999 employees",Retail,Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),400000,"$140,000",$0,400000,"$140,000",$0,515000,"AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",43,At least quarterly,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,2,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"API security,Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Yes,Synthetic,CISO,Applied Materials
Synthetic-2026,CISO,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,61,Yes,"10,000 - 25,000 employees",Broadcasting / Media,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),340000,"$25,000","$95,000",340000,"$25,000","$95,000",460000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",77,At least quarterly,No,,,No,Not Sure,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,Third-party/vendor AI risk management,Developing but inconsistent,10,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"API security,Identity/credential theft,Insider threats,Phishing/social engineering,Ransomware",Not confident,Uncertainty in defining the right skills and profile for the role,I am the AI Security leader,Synthetic,CISO,ThreatConnect
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Female,"Tokyo, USA",Tokyo,North America,4,No,1000 - 4999 employees,Energy,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),275000,,,275000,,,675000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,GRC,Incident Response,Security Operations",16,At least quarterly,Yes,"$40,000","$40,000",No,Neither,Yes,No,Yes,Yes (Cash and / or Equity),Attack Surface / Risk Assessment,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,0,Ensuring transparency and explainability of AI-driven decisions,Data exposure/privacy breaches,None at this time,"AI-enhanced attacks,API security,Identity/credential theft,Zero-day exploits",Very confident,"Other,Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",Yes,Synthetic,CISO,Flexport
