Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Director of Product Security,NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,51,No,"5000 - 9,999 employees",HealthTech,High Consequence,Publicly Traded Company,CISO,"$400,000","$117,000","$138,000","$655,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",3,At least annually,No,,,No,Neither,No,No,Yes,No,Business Impact,No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Identity/credential theft,Zero-day exploits",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",Already have a dedicated AI Security leader in place,Synthetic,Director Product Security,Snowflake
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Denver, CO, USA",Denver,North America,96,No,1000 - 4999 employees,HealthTech,High Consequence,Publicly Traded Company,Chief Information Officer,"$400,000","$55,000","$210,000","$665,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Trust & Safety",25,At least quarterly,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,22,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors,Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Cloud misconfigurations,Third party risk attacks",Somewhat confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CISO,American Tower
Synthetic-2026,Chief Security Officer,CISO / Head Security Level,Male,"Charlotte, NC, USA",Charlotte,North America,43,Yes,"5000 - 9,999 employees",Banking / Financial Services,High Consequence,Privately Held Company,Chief Information Officer,"$400,000","$20,000","$250,000","$670,000","AI Data Protection / Privacy and Security,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",70,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls",None at this time,"IoT/OT device vulnerabilities,Third party risk attacks",Don't Know / Not applicable,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Rubrik
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Washington, DC, USA",DMV,North America,24,Yes,1000 - 4999 employees,Enterprise SaaS,High Consequence,Privately Held Company,Chief Information Officer,"$400,000",,"$270,000","$670,000","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",11,At least semi-annually,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,10,Shadow AI,"AI-generated content being used in social engineering attacks,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",Other,"Cloud misconfigurations,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CISO,Brex
Synthetic-2026,VP Security,NextGen,Male,"Chicago, IL, USA",Chicago,North America,84,Yes,"25,000+ employees",Enterprise SaaS,High Consequence,Privately Held Company,CISO,"$400,000","$64,000","$211,000","$675,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",4,I do not report to the Board of Directors,Yes,"$55,000","$55,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Managing third-party/vendor AI risk,"Integration with critical systems creating attack vectors,Regulatory compliance violations","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Don't Know / Not applicable,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,VP Security,Kaseya
Synthetic-2026,CSO,CISO / Head Security Level,Male,"Chicago, IL, USA",Chicago,North America,34,Yes,"5000 - 9,999 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,Chief Technology Officer,"$400,000","$20,000","$285,000","$705,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",112,Per request,Yes,"$100,000","$100,000",No,Not Sure,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,5,Managing third-party/vendor AI risk,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),"API security,IoT/OT device vulnerabilities",Very confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,UnitedHealth Group
Synthetic-2026,Chief Security Officer,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,43,Yes,"5000 - 9,999 employees",HealthTech,High Consequence,Privately Held Company,Chief Financial Officer,"$400,000","$100,000","$250,000","$750,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,I do not report to the Board of Directors,Yes,"$50,000","$50,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,0,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Other",Other,"Ransomware,Third party risk attacks",Very confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CISO,LightEdge Solutions
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Chicago, IL, USA",Chicago,North America,56,Yes,"25,000+ employees",Healthcare,High Consequence,Privately Held Company,General Counsel / Chief Legal Officer,"$400,000",,"$385,000","$785,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations",113,At least quarterly,No,,,Yes,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Other",No,Synthetic,CISO,Veeva Systems
10/13/2025,CISO,CISO / Head Security Level,Male,"Atlanta, Ga, USA",Atlanta,North America,39,Yes,1000 - 4999 employees,Enterprise SaaS,High Consequence,Privately Held Company,General Counsel / Chief Legal Officer,"$400,000","$200,000","$200,000","$800,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",50,At least semi-annually,Yes,"$200,000.00","$200,000.00",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics,Business Impact,Percentage of company revenue,Attack Surface / Risk Assessment",No,Monitoring and detection for AI-driven threats,Established and repeatable,1,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Insider threats,Third party risk attacks,Ransomware,Zero-day exploits",Somewhat confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
10/14/2025,CISO,CISO / Head Security Level,Male,San Francisco,Bay Area,North America,5,Yes,"10,000 - 25,000 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,Chief Technology Officer,"$400,000","$165,000","$300,000","$865,000","AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,AI/ML Security Engineering",400,At least quarterly,Yes,"$200,000.00","$200,000.00",No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Business Impact,Attack Surface / Risk Assessment",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,20,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Intellectual property theft through AI platforms,Regulatory compliance violations,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Cloud misconfigurations,Identity/credential theft,Insider threats,Phishing/social engineering,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Yes,Actual,CISO,
10/13/2025,CISO,CISO / Head Security Level,Male,"Palo Alto, CA, USA",Bay Area,North America,44,No,1000 - 4999 employees,Artificial Intelligence (AI),High Consequence,Publicly Traded Company,Chief Technology Officer,"$400,000","$82,000","$400,000","$882,000","AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,AI Data Protection / Privacy and Security,Security Operations,Third Party Risk Management (TPRM)",14,At least quarterly,Yes,"$1,000,000.00","$1,000,000.00",No,Corporate Indemnification Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Insider threats,Third party risk attacks,Zero-day exploits",Very confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
10/27/2025,CISO,CISO / Head Security Level,Male,"Saint Louis, MO",Saint Louis,North America,48,No,1000 - 4999 employees,Banking / Financial Services,High Consequence,Publicly Traded Company,Chief Information Officer,"$400,000","$50,000","$434,000","$884,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Third party risk attacks",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
10/30/2025,CISO,CISO / Head Security Level,Female,Las Vegas,Las Vegas,North America,57,Yes,500 - 999 employees,FinTech,High Consequence,Publicly Traded Company,Chief Technology Officer,"$400,000","$200,000","$300,000","$900,000","Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations",15,At least quarterly,Yes,"$70,000.00","$70,000.00",Yes,Corporate Indemnification Policy,Yes,No,No,,"Financial and/or Risk-Based Metrics,Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,AI-generated content being used in social engineering attacks,AI decision-making in security tools creating blind spots,Dependency on AI vendors with unclear security practices,Data exposure/privacy breaches",None at this time,"AI-enhanced attacks,API security,Third party risk attacks",Not confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,14,No,1000 - 4999 employees,Artificial Intelligence (AI),High Consequence,Privately Held Company,Chief Financial Officer,"$400,000","$112,000","$420,000","$932,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",21,At least quarterly,Yes,"$150,000","$150,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,25,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft,Phishing/social engineering,Third party risk attacks,Zero-day exploits",Somewhat confident,"Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,Open Systems
Synthetic-2026,"Vice President, Cyber Security",NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,96,No,"25,000+ employees",Artificial Intelligence (AI),High Consequence,Privately Held Company,CISO,"$400,000","$85,000","$480,000","$965,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Other,Privacy,Product Security / AppSec,Security Operations",10,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Regulatory compliance violations,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Identity/credential theft,Zero-day exploits",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,VP Security,Privia Health
10/13/2025,CISO,CISO / Head Security Level,Male,"Kirkland, WA, USA",Seattle,North America,12,Yes,"10,000 - 25,000 employees",Enterprise SaaS,High Consequence,Publicly Traded Company,Chief Information Officer,"$400,000","$140,000","$500,000","$1,040,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Infrastructure Engineering / Operations",300,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,Yes,No,,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Developing but inconsistent,5,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),Other,EU AI Act requirements (compliance-driven)","AI-enhanced attacks,Insider threats,Identity/credential theft,Cloud misconfigurations,Mobile / BYOD threats,Phishing/social engineering,Ransomware,Third party risk attacks,Zero-day exploits,API security",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Actual,CISO,
Synthetic-2026,VP Information Security,NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,18,No,"10,000 - 25,000 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,CISO,"$400,000","$49,000","$641,000","$1,090,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Other,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",56,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,10,Aligning AI security with enterprise risk management frameworks,"Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft",Somewhat confident,Competing with salary expectations in the market,I am the AI Security leader,Synthetic,VP Security,Datadog
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Chicago, IL, USA",Chicago,North America,55,Yes,1000 - 4999 employees,Cloud Infrastructure,High Consequence,Privately Held Company,Chief Technology Officer,"$400,000","$100,000","$640,000","$1,140,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,GRC,Incident Response,Product Security / AppSec,Security Operations",32,At least quarterly,Yes,"$210,000","$210,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,API security,Cloud misconfigurations,Identity/credential theft",Somewhat confident,"Lack of alignment on the role requirements,Time spent screening unqualified candidates",No,Synthetic,CISO,Checkmarx
10/17/2025,PE Portfolio CISO,CISO / Head Security Level,Male,"Vienna, VA, USA",DMV,North America,50,Yes,"5000 - 9,999 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,Other,"$400,000","$400,000","$515,133","$1,315,133",Other,1,I do not report to the Board of Directors,Yes,"$794,070.00","$794,070.00",No,Neither,No,No,Yes,No,Business Impact,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Managing third-party/vendor AI risk,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),Ransomware,Not confident,"Competing with salary expectations in the market,Other",Already have a dedicated AI Security leader in place,Actual,CISO,
Synthetic-2026,"VP, CISO",CISO / Head Security Level,Prefer not to answer,"New York, NY, USA",NYC Metro,North America,18,No,250 - 499 employees,Enterprise SaaS,High Consequence,Privately Held Company,CEO,"$400,000","$50,000","$1,000,000","$1,450,000","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",3,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,1,Shadow AI,"AI-generated content being used in social engineering attacks,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"API security,Zero-day exploits",Not confident,Risk of hiring someone who looks good on paper but lacks depth,Yes,Synthetic,CISO,Flexport
Synthetic-2026,Director - Security Architecture and Engineering,NextGen,Male,"Denver, CO, USA",Denver,North America,36,No,1000 - 4999 employees,Cloud Infrastructure,High Consequence,Publicly Traded Company,CISO,"$400,000","$710,000","$575,000","$1,685,000","AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations",18,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Other,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations","ISO/IEC 23894 (AI Risk Management),Internal / proprietary AI risk framework,Other","AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Insider threats,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",No,Synthetic,Director Security Engineering,Google
10/29/2025,CISO,CISO / Head Security Level,Male,Remote / Californa / USA,Remote,North America,68,Yes,1000 - 4999 employees,Enterprise SaaS,High Consequence,Privately Held Company,CEO,"$401,000","$60,500","$675,000","$1,136,500","Cloud Security,GRC,Enterprise Risk,Corp IT Security / Enterprise Security,Incident Response,Identity & Access Management / IAM,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",24,At least quarterly,No,,,No,Not Sure,No,No,No,,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,AI decision-making in security tools creating blind spots",Internal / proprietary AI risk framework,"Cloud misconfigurations,Identity/credential theft,Third party risk attacks",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Location (RTO) constraints limiting hiring",No,Actual,CISO,
1/6/2026,"Vice President Cybersecurity Architecture, Strategy & Engineering",NextGen,Male,"Denver, Colorado",Denver,North America,19,Yes,"10,000 - 25,000 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,CISO,"$405,000","$50,000","$50,000","$505,000","AI Data Protection / Privacy and Security,AI/ML Security Engineering,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Post-Quantum Cryptography (PQC),Product Security / AppSec,Other",45,Per request,Yes,"$10,000.00","$10,000.00",No,Not Sure,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics,Other",No,Other,Developing but inconsistent,1,Other,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),Internal / proprietary AI risk framework","AI-enhanced attacks,API security",Not confident,"Location (RTO) constraints limiting hiring,Lack of alignment on the role requirements",I am the AI Security leader,Actual,Director Security Engineering,
12/9/2025,CISO,CISO / Head Security Level,Male,NYC,NYC Metro,North America,14,Yes,500 - 999 employees,HealthTech,High Consequence,Privately Held Company,Chief Technology Officer,"$405,000","$15,000","$100,000","$520,000","Cloud Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI Governance / Risk Management and Policy,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",7,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches,AI decision-making in security tools creating blind spots",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security",Very confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates,Location (RTO) constraints limiting hiring",No,Actual,CISO,
